ARI,Isolated_Labels_ASW,NMI,cLISI_Graph,Silhouette,method,Dataset
0.961992697461801,0.6600961691692162,0.8807307437488081,1.0,0.7287840652082729,scMVP,5_human_brain_10x
0.9582237267519084,0.6143455491734151,0.8915138342628309,1.0,0.6681282286231567,scVAEIT,5_human_brain_10x
0.8891940826089489,0.5230009475980948,0.8498820235151475,0.9963902842728124,0.6433674075606952,MOJITOO,5_human_brain_10x
0.9419265437511252,0.5739281425714485,0.8144144268645593,1.0,0.7088908530323993,Multigrate,5_human_brain_10x
0.6542839867282472,0.7264000062297843,0.7881870477826304,1.0,0.8003597018521013,MultiVI,5_human_brain_10x
0.976914137063324,0.714029416347056,0.9192068637785936,1.0,0.8555236438780771,MOFA,5_human_brain_10x
0.9781188698649996,0.607245580212999,0.9197103282414664,1.0,0.7163576284842499,SCOIT,5_human_brain_10x
0.8790484404225849,0.6141567498435176,0.7503049978516912,0.999238756126694,0.6940449408201379,MIRA,5_human_brain_10x
0.9512928267899238,0.6973148643080167,0.8978653399162206,1.0,0.7285650831726764,scAI,5_human_brain_10x
0.9297554990735574,0.6062013870578782,0.8229736429224046,0.997916387916406,0.6627368898826969,DeepMaps,5_human_brain_10x
0.5339052829661418,0.5017619745835085,0.6677582937405947,0.9945383035789436,0.5831463454778116,Schema,5_human_brain_10x
0.5720452792162066,0.7904766551218927,0.7819951793980379,0.9999999999999998,0.8225405216217041,Seurat,5_human_brain_10x
